Title,Story_line
897. The Mouse Trap,"It's Alex's 21st Birthday, but she's stuck at the amusement arcade on a late shift so her friends decide to surprise her, but a masked killer dressed as Mickey Mouse decides to play a game of his own with them which she must survive."
898. Fasel men el-Lahazat el-Ladhidhah,"A romantic comedy about a couple who encounter many problems, until a portal opens by chance that leads them to parallel worlds."
899. McVeigh,Army veteran Timothy McVeigh hatches a deadly plan after the Waco siege. A psychological thriller depicting the deadliest act of domestic terrorism in U.S. history.
900. Boot Camp,"Follows unathletic Whitney Carmichael, who signs up for an intense summer boot camp to reinvent herself and falls for her personal trainer. She then finds the strength to embrace her true self and ignore the others' expectations."
901. Fight Another Day,"Follows a tough cop, who after being transported to a dystopian future, must enter a deadly combat tournament to be able to return to his past."
902. Mama's Boy,"A controversial affair unfolds when a young man, Glen, manipulates his stepmother, Lorraine and her sister, Leilanie, to fall for him to exact revenge on his father, Mauro. But there is twist and Glen is in for life-shattering shock."
903. Everyone Is Going to Die,An entrepreneur is attempting to reconnect with his daughter on her Birthday. The party is interrupted and they are taken hostage by two masked female robbers who appear to have real problems with the Patriarchy.
904. The Apocalypse of St. John,"Watch 'The Apocalypse of Saint John, ' a visually stunning film that explores prophecy and the power of faith."
905. Clown 2,"A troubled young woman moves to a small town to start fresh with her aunt, but soon learns the locals have a vendetta against her family-and her past might be the key to unraveling their dangerous secrets."
906. The Kingdom,"Lesia, a teenager, is taken by a man to a villa where her fugitive father and his men are hiding. A war erupts, leading to death and a chase where father and daughter bond."
907. Darkest Miriam,"Miriam Gordon lives in a fog of grief while working in a downtown public library branch. When a burgeoning love-affair coincides with her receiving a series of oddly threatening letters, Miriam's sheltered existence is cracked open."
908. Eagle,A journalist uncovers the story of a ruthless assassin when she investigates a government cover up.
909. Push,Follows a realtor who must survive a night of terror when a deranged client shows up at her open house.
910. A Little Something Extra,"To escape the police, a son and his father find refuge in a summer camp for young adults with disabilities, posing as a resident and his educator. The beginning of trouble and a wonderful human experience that will change them forever."
911. Gloria!,"In 1800, at a girls' school in Venice, isolated and supposedly mute domestic servant Teresa discovers the joy that music can bring, teaming up with a group of talented girls."
912. Hamlet,"Shakespeare's timeless story of revenge is reimagined as a modern psychological thriller. The classic tragedy transcends the stage through a unique, contemporary lens."
913. How to Make Gravy,"A feature film adaptation of Australian music legend Paul Kelly's classic song, 'How to Make Gravy'."
914. Half Baked: Totally High,Three potheads sell a strain of magical weed to raise funds for their friend's funeral.
915. Meanwhile on Earth,"A 23-year-old girl is contacted by an unknown life form claiming to be able to bring her older brother, who disappeared during a space mission, safely back to Earth."
916. Alien: Rubicon,A series of alien spheres land on planet Earth destroying everything in their path with ease. It's up to a scientist and the President of the USA to find a way to stop the alien invasion.
917. With or Without You,"A mother, a daughter and a stranger from another land are thrown together on an unexpected road trip that takes them on a journey of love, humour and redemption."
918. Committee Kurrollu,"In a peaceful West Godavari village, the harmony of a close-knit friend group is disrupted when a disagreement leads to an unexpected fallout, impacting their lives and the tranquility of their community."
919. Ghost Train,"""Ghost Train"" is a horror movie in which Da Gyeong, a YouTuber with the lowest number of views, meets the station master of a mysterious subway station to find the source of a true horror story and encounters several strange stories."
920. The Correspondent,"Award-winning journalist Peter Greste reports on the Arab Spring uprising, becoming entangled in a deadly game of rivalries. Imprisoned for seven years despite his innocence, he survives on wits alone before release in 2015."
921. Grassland,A riveting social justice thriller highlighting the perils of marijuana incarceration.
922. Siccin 7,"Kemal and family move to uncle's mansion after deal with child panhandling mafia, hiding daughter Rüya's illness. Mother Lale's Alzheimer's triggers paranormal occurrences. Meral infiltrates, plans ritual on Black Moon 2018."
923. The Red Virgin,"Hildegart Rodríguez, a precocious and prolific writer in Spain's 1930s, raised by her mother to become a model of future women."
924. Block Pass,"Willy and Jojo are childhood friends who never leave each other's side. To beat boredom, they train at the Pampa, a motocross track. One evening, Willy discovers Jojo's secret."
